,user,month,year,Score,hour
0,Back Breaker,1,2022,0.01133117088607595,12.965189873417721
1,Back Breaker,1,2023,0.001413084112149534,13.495327102803738
2,Back Breaker,2,2022,0.014121227621483375,14.982097186700766
3,Back Breaker,2,2023,0.013899487179487179,12.555555555555555
4,Back Breaker,3,2022,0.008975599128540304,15.89760348583878
5,Back Breaker,3,2023,0.08767878787878787,14.727272727272727
6,Back Breaker,4,2022,0.03060175438596491,15.131578947368421
7,Back Breaker,4,2023,0.028283720930232556,13.44186046511628
8,Back Breaker,5,2022,0.012486066584463626,15.599260172626387
9,Back Breaker,5,2023,0.09452173913043478,12.782608695652174
10,Back Breaker,6,2022,0.029271676300578035,15.591522157996147
11,Back Breaker,6,2023,-0.0884764705882353,12.705882352941176
12,Back Breaker,7,2022,-0.006162187499999999,15.484375
13,Back Breaker,7,2023,0.005287999999999999,17.04
14,Back Breaker,8,2022,0.02685006729475101,14.294751009421265
15,Back Breaker,8,2023,0.043888888888888894,15.305555555555555
16,Back Breaker,9,2022,-0.0006108877721943043,14.020100502512562
17,Back Breaker,9,2023,0.047034545454545454,16.581818181818182
18,Back Breaker,10,2022,0.022392131147540986,14.652459016393443
19,Back Breaker,10,2023,0.0017709677419354823,14.64516129032258
20,Back Breaker,11,2022,0.0013631372549019597,13.423529411764706
21,Back Breaker,11,2023,0.0008800000000000019,12.6
22,Back Breaker,12,2022,0.007190746268656716,14.192537313432835
23,Back Breaker,12,2023,0.03557261904761905,15.25
24,Black Smoke,1,2022,0.003176543209876544,14.312757201646091
25,Black Smoke,1,2023,-0.035114814814814814,20.25925925925926
26,Black Smoke,2,2022,-0.02505944700460829,15.304147465437788
27,Black Smoke,2,2023,-0.03928333333333334,12.38888888888889
28,Black Smoke,3,2022,-0.012946153846153849,16.420814479638008
29,Black Smoke,3,2023,-0.1251076923076923,19.692307692307693
30,Black Smoke,4,2022,-0.01415691056910569,17.097560975609756
31,Black Smoke,4,2023,0.011478947368421054,9.947368421052632
32,Black Smoke,5,2022,-0.00794189189189189,14.783783783783784
33,Black Smoke,6,2022,0.008002222222222223,17.637037037037036
34,Black Smoke,7,2022,-0.005891304347826087,14.478260869565217
35,Black Smoke,7,2023,0.0,14.0
36,Black Smoke,8,2022,-0.011185436893203882,16.737864077669904
37,Black Smoke,8,2023,0.0,12.4
38,Black Smoke,9,2022,0.04922772277227722,15.03960396039604
39,Black Smoke,9,2023,0.24884,9.4
40,Black Smoke,10,2022,0.04449,17.933333333333334
41,Black Smoke,10,2023,0.05303333333333333,19.5
42,Black Smoke,11,2022,-0.03677575757575757,12.272727272727273
43,Black Smoke,11,2023,0.0,11.0
44,Black Smoke,12,2022,0.034765384615384615,13.423076923076923
45,Certified Lover Boy,1,2022,0.0032909774436090224,14.360902255639099
46,Certified Lover Boy,1,2023,0.012726530612244897,14.244897959183673
47,Certified Lover Boy,2,2022,-0.016433333333333335,16.115384615384617
48,Certified Lover Boy,2,2023,0.017063636363636364,9.818181818181818
49,Certified Lover Boy,3,2022,0.004519722222222224,14.697222222222223
50,Certified Lover Boy,3,2023,-0.02317647058823529,10.823529411764707
51,Certified Lover Boy,4,2022,-0.026816528925619833,12.87603305785124
52,Certified Lover Boy,4,2023,0.0014655172413793136,12.413793103448276
53,Certified Lover Boy,5,2022,0.017145591397849463,15.331182795698926
54,Certified Lover Boy,5,2023,0.0,17.0
55,Certified Lover Boy,6,2022,0.01374265402843602,13.772511848341232
56,Certified Lover Boy,6,2023,-0.12547777777777777,13.11111111111111
57,Certified Lover Boy,7,2022,0.006637078651685393,15.96629213483146
58,Certified Lover Boy,7,2023,0.27115,4.0
59,Certified Lover Boy,8,2022,0.010983132530120482,13.27710843373494
60,Certified Lover Boy,8,2023,0.0,18.666666666666668
61,Certified Lover Boy,9,2022,0.00671764705882353,13.323529411764707
62,Certified Lover Boy,9,2023,0.0,16.875
63,Certified Lover Boy,10,2022,0.019772413793103447,16.017241379310345
64,Certified Lover Boy,11,2022,0.016139,13.15
65,Certified Lover Boy,11,2023,0.0,11.333333333333334
66,Certified Lover Boy,12,2022,0.0012251641137855584,13.864332603938731
67,Certified Lover Boy,12,2023,-0.07508571428571428,13.714285714285714
68,Dannie3,1,2022,-0.002123145400593471,14.397626112759644
69,Dannie3,1,2023,0.0006905263157894748,14.384210526315789
70,Dannie3,2,2022,6.415094339622633e-05,13.440251572327044
71,Dannie3,2,2023,0.0001467532467532479,15.311688311688311
72,Dannie3,3,2022,0.0016618090452261303,15.904522613065327
73,Dannie3,3,2023,-0.00569090909090909,14.963636363636363
74,Dannie3,4,2022,-0.009083783783783784,18.07335907335907
75,Dannie3,4,2023,0.06277758620689655,13.586206896551724
76,Dannie3,5,2022,0.030264,14.252
77,Dannie3,5,2023,0.07003749999999999,14.041666666666666
78,Dannie3,6,2022,-0.007877862595419846,14.106870229007633
79,Dannie3,6,2023,0.08428,13.2
80,Dannie3,7,2022,-0.017827397260273974,14.520547945205479
81,Dannie3,7,2023,0.007289999999999996,16.4
82,Dannie3,8,2022,-0.004452805280528054,15.745874587458745
83,Dannie3,8,2023,-0.072584,16.44
84,Dannie3,9,2022,0.006824679487179488,15.567307692307692
85,Dannie3,9,2023,0.00958695652173913,16.652173913043477
86,Dannie3,10,2022,-0.02267111111111111,15.677777777777777
87,Dannie3,10,2023,0.04072542372881356,12.508474576271187
88,Dannie3,11,2022,-0.007827433628318583,15.955752212389381
89,Dannie3,11,2023,0.0258,16.0
90,Dannie3,12,2022,0.007148473282442748,14.206106870229007
91,Dannie3,12,2023,-0.016780000000000003,11.24
92,Mr Vulnerable,1,2022,0.004365961732124875,14.283987915407854
93,Mr Vulnerable,1,2023,-6.612529002320105e-05,14.424593967517401
94,Mr Vulnerable,2,2022,0.006929896907216494,16.13917525773196
95,Mr Vulnerable,2,2023,-0.007139910313901345,13.490284005979074
96,Mr Vulnerable,3,2022,0.013965234899328858,15.11006711409396
97,Mr Vulnerable,3,2023,-0.0176827868852459,14.672131147540984
98,Mr Vulnerable,4,2022,-9.075949367088606e-05,15.645569620253164
99,Mr Vulnerable,4,2023,-0.0016123456790123455,12.074074074074074
100,Mr Vulnerable,5,2022,0.012755604203152365,14.753064798598949
101,Mr Vulnerable,5,2023,-0.02415,16.9375
102,Mr Vulnerable,6,2022,0.0004230579531442664,14.120838471023427
103,Mr Vulnerable,6,2023,-0.07673529411764705,14.235294117647058
104,Mr Vulnerable,7,2022,0.006267504835589943,15.483558994197292
105,Mr Vulnerable,7,2023,0.01178,16.766666666666666
106,Mr Vulnerable,8,2022,0.005430632235084595,14.861086375779163
107,Mr Vulnerable,8,2023,-0.04003488372093023,16.651162790697676
108,Mr Vulnerable,9,2022,0.005423194748358861,14.74507658643326
109,Mr Vulnerable,9,2023,0.020573584905660375,15.20754716981132
110,Mr Vulnerable,10,2022,0.010076975945017181,14.609965635738831
111,Mr Vulnerable,10,2023,0.003145744680851066,14.617021276595745
112,Mr Vulnerable,11,2022,0.011901340482573727,14.316353887399464
113,Mr Vulnerable,11,2023,-0.0017100000000000004,13.0
114,Mr Vulnerable,12,2022,0.003418227593152064,14.226586102719033
115,Mr Vulnerable,12,2023,0.026413333333333334,12.653333333333334
116,Sh@eks,1,2022,0.0,12.333333333333334
117,Sh@eks,1,2023,0.0,9.75
118,Sh@eks,2,2022,0.008520634920634922,14.619047619047619
119,Sh@eks,2,2023,0.0030769230769230765,14.01923076923077
120,Sh@eks,7,2022,0.0,7.0
